target,merge_step,piece,readable,rank,byte_length,leverage,leverage_ci_low,leverage_ci_high,is_gap
thank,6,▁th,th,40,3,0.2927484393119812,0.20986181286808003,0.37563506575588235,False
thank,7,▁than,than,394,5,0.7522319400310516,0.6837599631484154,0.8207039169136879,False
thank,8,▁thank,thank,3808,6,1.107603828907013,0.9983574896655589,1.216850168148467,False
National,7,on,on,5,2,0.5875390863418579,0.511186277313582,0.6638918953701338,False
National,8,at,at,11,2,0.6466294193267822,0.5411003074502023,0.7521585312033621,False
National,9,al,al,26,2,0.7487594854831695,0.6630563506689,0.834462620297439,False
National,10,ion,ion,39,3,0.4210682737827301,0.34637923349054867,0.4957573140749115,False
National,11,ation,ation,84,5,0.45385201573371886,0.3864331544142562,0.5212708770531815,False
National,12,ational,ational,583,7,0.7552461552619935,0.6741975006465447,0.8362948098774422,False
National,13,▁National,National,2130,9,1.1069217705726624,1.0161858679911626,1.1976576731541622,False
Inst,4,st,st,52,2,0.44993789911270143,0.36001505428913,0.5398607439362728,False
Inst,5,▁In,In,238,3,0.4918594247102737,0.3996874711148969,0.5840313783056506,False
Inst,6,▁Inst,Inst,1739,5,1.1019341492652892,0.9974671054769593,1.2064011930536191,False
Nor,3,or,or,15,2,0.47793734312057495,0.38528237566689727,0.5705923105742526,False
Nor,4,▁Nor,Nor,5215,4,1.0945159876346588,0.9672236227714275,1.2218083524978902,False
Can,3,an,an,24,2,0.5156482374668121,0.41458640089183973,0.6167100740417845,False
Can,4,▁Can,Can,1303,4,1.0919818419218064,0.9518467160393287,1.232116967804284,False
requ,4,▁re,re,49,3,0.5077640962600708,0.42108778965250077,0.5944404028676409,False
requ,5,qu,qu,150,2,0.6367448592185974,0.5111272226997157,0.762362495737479,False
requ,6,▁requ,requ,711,5,1.0895363366603852,0.9921738488370768,1.1868988244836935,False
signific,6,ic,ic,34,2,0.5909778952598572,0.48492437237037267,0.6970314181493418,False
signific,7,ig,ig,75,2,0.5925013542175293,0.47805648153212293,0.7069462269029356,False
signific,8,if,if,104,2,0.2885540497303009,0.18611408194463075,0.39099401751597107,False
signific,9,ign,ign,307,3,0.5379615819454193,0.43518069130667947,0.6407424725841592,False
signific,10,ific,ific,537,4,0.5615219438076019,0.45807086240783257,0.6649730252073712,False
signific,11,▁sign,sign,843,5,0.6171210235357285,0.5151395340761437,0.7191025129953134,False
signific,12,▁signific,signific,1873,9,1.088935534954071,0.9964481900327034,1.1814228798754387,False
Euro,4,ro,ro,48,2,0.6665664958953857,0.5712249131741552,0.7619080786166162,False
Euro,5,uro,uro,1617,3,0.764690500497818,0.643908280742442,0.8854727202531939,False
Euro,6,▁Euro,Euro,2003,5,1.0878606927394867,0.987337366631943,1.1883840188470303,False
invol,5,▁in,in,32,3,0.5677010178565979,0.4767734100836545,0.6586286256295413,False
invol,6,ol,ol,86,2,0.6847121894359589,0.5712907270948803,0.7981336517770375,False
invol,7,▁inv,inv,561,4,0.44537095665931703,0.3439460400830288,0.5467958732356052,False
invol,8,▁invol,invol,1561,6,1.0812289571762086,0.9853594087673981,1.1770985055850192,False
icro,4,ic,ic,34,2,0.5909778952598572,0.48492437237037267,0.6970314181493418,False
icro,5,ro,ro,48,2,0.6665664958953857,0.5712249131741552,0.7619080786166162,False
